dataset,model,pooling,n_shots,seed,k,accuracy,macro_f1
cifar10,dinov2_vits14,cls,100,2,20,0.9542999863624573,0.9542394658385746
cifar10,dinov2_vits14,mean_pool,1,0,1,0.7580999732017517,0.7467929442221367
cifar10,dinov2_vits14,mean_pool,1,0,5,0.7580999732017517,0.7467929442221367
cifar10,dinov2_vits14,mean_pool,1,0,20,0.7580999732017517,0.7467929442221367
cifar10,dinov2_vits14,mean_pool,1,1,1,0.6431000232696533,0.6471892082391391
cifar10,dinov2_vits14,mean_pool,1,1,5,0.6431000232696533,0.6471892082391391
cifar10,dinov2_vits14,mean_pool,1,1,20,0.6431000232696533,0.6471892082391391
cifar10,dinov2_vits14,mean_pool,1,2,1,0.5856000185012817,0.537512703942995
cifar10,dinov2_vits14,mean_pool,1,2,5,0.5856000185012817,0.537512703942995
cifar10,dinov2_vits14,mean_pool,1,2,20,0.5856000185012817,0.537512703942995
cifar10,dinov2_vits14,mean_pool,2,0,1,0.7689999938011169,0.7680351299716444
cifar10,dinov2_vits14,mean_pool,2,0,5,0.7858999967575073,0.7839820454638831
cifar10,dinov2_vits14,mean_pool,2,0,20,0.7864000201225281,0.7845105509619563
cifar10,dinov2_vits14,mean_pool,2,1,1,0.7591000199317932,0.7580841379777759
cifar10,dinov2_vits14,mean_pool,2,1,5,0.777899980545044,0.7760750851785502
cifar10,dinov2_vits14,mean_pool,2,1,20,0.7778000235557556,0.7761194552289963
cifar10,dinov2_vits14,mean_pool,2,2,1,0.7315000295639038,0.7095003500624782
cifar10,dinov2_vits14,mean_pool,2,2,5,0.7476000189781189,0.7260751204115417
cifar10,dinov2_vits14,mean_pool,2,2,20,0.7452999949455261,0.7237875724471501
cifar10,dinov2_vits14,mean_pool,5,0,1,0.8288999795913696,0.8263501079208924
cifar10,dinov2_vits14,mean_pool,5,0,5,0.8471999764442444,0.8437118628801311
cifar10,dinov2_vits14,mean_pool,5,0,20,0.8497999906539917,0.8460200750013115
cifar10,dinov2_vits14,mean_pool,5,1,1,0.829800009727478,0.8276756360571573
cifar10,dinov2_vits14,mean_pool,5,1,5,0.8445000052452087,0.8423347185468941
cifar10,dinov2_vits14,mean_pool,5,1,20,0.8490999937057495,0.846829271823456
cifar10,dinov2_vits14,mean_pool,5,2,1,0.8227999806404114,0.819800449639288
cifar10,dinov2_vits14,mean_pool,5,2,5,0.8474000096321106,0.8443126445816113
cifar10,dinov2_vits14,mean_pool,5,2,20,0.8518999814987183,0.8486857079767514
cifar10,dinov2_vits14,mean_pool,10,0,1,0.8324000239372253,0.831788675224103
cifar10,dinov2_vits14,mean_pool,10,0,5,0.8608999848365784,0.8593321029063077
cifar10,dinov2_vits14,mean_pool,10,0,20,0.8694999814033508,0.8681582173073448
cifar10,dinov2_vits14,mean_pool,10,1,1,0.8479999899864197,0.8461247407257437
cifar10,dinov2_vits14,mean_pool,10,1,5,0.8651000261306763,0.8630140261804012
cifar10,dinov2_vits14,mean_pool,10,1,20,0.869700014591217,0.8676993066389805
cifar10,dinov2_vits14,mean_pool,10,2,1,0.8432999849319458,0.8418169152838729
cifar10,dinov2_vits14,mean_pool,10,2,5,0.8669000267982483,0.8652666025663169
cifar10,dinov2_vits14,mean_pool,10,2,20,0.8734999895095825,0.871704994784716
cifar10,dinov2_vits14,mean_pool,20,0,1,0.8618000149726868,0.8615943570702628
cifar10,dinov2_vits14,mean_pool,20,0,5,0.8913999795913696,0.8908998411474519
cifar10,dinov2_vits14,mean_pool,20,0,20,0.9018999934196472,0.901204135935393
cifar10,dinov2_vits14,mean_pool,20,1,1,0.8598999977111816,0.8583845988939759
cifar10,dinov2_vits14,mean_pool,20,1,5,0.8835999965667725,0.882049783742102
cifar10,dinov2_vits14,mean_pool,20,1,20,0.8895999789237976,0.8882527470980314
cifar10,dinov2_vits14,mean_pool,20,2,1,0.8769000172615051,0.8766196154607991
cifar10,dinov2_vits14,mean_pool,20,2,5,0.8960000276565552,0.8956671490741819
cifar10,dinov2_vits14,mean_pool,20,2,20,0.9024999737739563,0.901921528750154
cifar10,dinov2_vits14,mean_pool,50,0,1,0.8885999917984009,0.8880415782720809
cifar10,dinov2_vits14,mean_pool,50,0,5,0.9111999869346619,0.9107124032165121
cifar10,dinov2_vits14,mean_pool,50,0,20,0.9210000038146973,0.920498418992741
cifar10,dinov2_vits14,mean_pool,50,1,1,0.8870999813079834,0.8860427600746595
